features,pearson
National Minority Percentile,0.21306790381819898
National Less than High School Education Percentile,0.018044389977731255
National Unemployment Rate Percentile,0.12925945788648682
National Low Income Percentile,0.09857643384866362
National Under Age 5 Percentile,-0.03892070612580013
National Over Age 64 Percentile,-0.16571249844647062
